1/7/21, 1:00 PM
Project Statistics

                 	Segments	  Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	  116607	1173671	                    5706378	                      6758341	    93	
Remaining:       	    4673	  72968	                    4217118	                      5011344	    91
Unique:          	   45309	 620896	                    2970164	                      3541655	    93	
Unique Remaining:	    4574	  95135	                    2359063	                      2815838	    91


Individual File Statistics:

File Name                                                    	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
getting_started64/GS6406-GettingStartedWithImpress.odt       	          1027	               406	            114	                      106	      11350	           6415	        1529	                  1471	                            53076	                                29388	                              7227	                                        6949	                              63308	                                  35307	                                8633	                                          8305	
getting_started64/GS6407-GettingStartedWithDraw.odt          	           870	               351	             95	                       89	       9839	           6118	        1332	                  1311	                            46700	                                28410	                              6113	                                        5980	                              55636	                                  34149	                                7347	                                          7199	
getting_started64/GS6408-GettingStartedWithBase.odt          	          1529	               826	            138	                      133	      16740	          10198	        1543	                  1512	                            77268	                                46946	                              7080	                                        6931	                              92306	                                  56159	                                8447	                                          8272	
getting_started64/GS6409-GettingStartedWithMath.odt          	          1100	               430	            116	                      107	      12148	           6576	        1589	                  1530	                            58679	                                31164	                              7321	                                        7027	                              69807	                                  37365	                                8810	                                          8467	
getting_started64/GS6410-PrintExportEmailSigning.odt         	           700	               282	             81	                       72	       6738	           4141	         953	                   904	                            33086	                                20085	                              4750	                                        4464	                              39023	                                  23873	                                5614	                                          5288	
getting_started64/GS6411-ImagesAndGraphics.odt               	           725	               220	             50	                       41	       6424	           3457	         553	                   511	                            31033	                                16503	                              2742	                                        2511	                              36668	                                  19690	                                3241	                                          2977	
getting_started64/GS6412-CreatingHTMLFiles.odt               	           393	               160	             36	                       33	       4605	           2723	         460	                   443	                            21991	                                12697	                              2149	                                        2067	                              26130	                                  15204	                                2563	                                          2467	
getting_started64/GS6413-GettingStartedWithMacros.odt        	           869	               416	             62	                       53	       7661	           4532	         729	                   694	                            41007	                                24646	                              3718	                                        3527	                              47636	                                  28607	                                4397	                                          4180	
getting_started64/GS6414-CustomizingLibreOffice.odt          	           324	               128	             27	                       26	       3149	           2014	         303	                   300	                            15513	                                 9449	                              1389	                                        1364	                              18279	                                  11282	                                1661	                                          1634	
getting_started64/GS6415-KeyboardShortcuts.odt               	           376	                58	              6	                        6	       2392	            740	          31	                    31	                            12012	                                 3716	                               215	                                         215	                              13923	                                   4364	                                 239	                                           239	
